1875.3	0641190	CA	VISTA UNIFIED
1872.5	0630660	CA	PLACENTIA-YORBA LINDA UNIFIED
1870.5	4500720	SC	AIKEN 01
1862.3	0606810	CA	CAJON VALLEY UNION ELEMENTARY
1856.2	2201290	LA	RAPIDES PARISH
1850.8	0609390	CA	COLTON JOINT UNIFIED
1850.0	3703930	NC	ROBESON COUNTY SCHOOLS
1840.5	5103240	VA	RICHMOND CITY PBLC SCHS
1838.3	0629550	CA	PALM SPRINGS UNIFIED
1818.0	0616740	CA	HAYWARD UNIFIED
1817.5	0615240	CA	GLENDALE UNIFIED
1817.2	3700030	NC	ALAMANCE-BURLINGTON SCHOOLS
1815.7	0640150	CA	TUSTIN UNIFIED
1812.0	0606390	CA	PANAMA-BUENA VISTA UNION
1808.8	0629220	CA	OXNARD ELEMENTARY
1805.3	1803450	IN	EVANSVILLE-VANDERBURGH SCH CORP
1797.3	3700012	NC	PITT COUNTY SCHOOLS
1797.0	2400270	MD	CHARLES COUNTY PUBLIC SCHOOLS
1796.3	1301410	GA	COLUMBIA COUNTY
1776.5	2611600	MI	DEARBORN CITY SCHOOL DISTRICT
1776.2	4830570	TX	MIDLAND ISD
1774.7	0623610	CA	MANTECA UNIFIED
1772.0	4834830	TX	PFLUGERVILLE ISD
1769.8	3702310	NC	IREDELL-STATESVILLE SCHOOLS
1767.2	5103640	VA	SPOTSYLVANIA CO PBLC SCHS
1762.8	4810230	TX	BIRDVILLE ISD
1760.7	0400600	AZ	ALHAMBRA ELEMENTARY DISTRICT
1758.2	0625130	CA	MODESTO CITY ELEMENTARY
1754.2	4502010	SC	DORCHESTER 02
1753.5	2725200	MN	OSSEO PUBLIC SCHOOL DISTRICT
1748.5	1200810	FL	HERNANDO
1746.7	0900450	CT	BRIDGEPORT SCHOOL DISTRICT
1744.7	4502700	SC	LEXINGTON 01
1744.5	4824990	TX	JUDSON ISD
1740.8	0600027	CA	LAKE ELSINORE UNIFIED
1739.3	3173740	NE	MILLARD PUBLIC SCHOOLS
1730.3	5309270	WA	VANCOUVER SCHOOL DISTRICT
1720.5	5100270	VA	ARLINGTON CO PBLC SCHS
1719.8	0804350	CO	MESA COUNTY VALLEY SCHOOL DISTRICT NO. 51
1709.7	4020250	OK	MOORE
1704.5	4824060	TX	HURST-EULESS-BEDFORD ISD
1691.2	0101800	AL	HUNTSVILLE CITY
1684.2	0613360	CA	FAIRFIELD-SUISUN UNIFIED
1681.0	4666270	SD	SIOUX FALLS SCHOOL DISTRICT 49-5
1679.7	2200270	LA	BOSSIER PARISH
1674.2	3628590	NY	SYRACUSE CITY SCHOOL DISTRICT
1671.3	2400660	MD	WASHINGTION COUNTY PUBLIC SCHOOLS
1669.3	0901920	CT	HARTFORD SCHOOL DISTRICT
1669.2	0641040	CA	VICTOR ELEMENTARY
1667.5	3904384	OH	DAYTON CITY
1663.5	2007950	KS	KANSAS CITY
1661.5	3404590	NJ	ELIZABETH
1654.8	1000200	DE	CHRISTINA SCHOOL DISTRICT
1641.7	0628250	CA	OCEANSIDE UNIFIED
1640.2	0605580	CA	SANTA MARIA-BONITA
1636.8	4821150	TX	GOOSE CREEK CISD
1634.8	2012000	KS	BLUE VALLEY
1631.7	5507320	WI	KENOSHA SCHOOL DISTRICT
1629.3	0623340	CA	MADERA UNIFIED
1625.5	0639420	CA	TORRANCE UNIFIED
1623.8	0627240	CA	NEWPORT-MESA UNIFIED
1623.0	0629490	CA	PAJARO VALLEY UNIFIED
1622.2	0634880	CA	SAN MARCOS UNIFIED
1617.8	0616920	CA	HEMET UNIFIED
1615.3	1810290	IN	SOUTH BEND COMMUNITY SCH CORP
1615.2	0600014	CA	HESPERIA UNIFIED
1613.5	4100023	OR	HILLSBORO SD 1J
1611.7	2616440	MI	GRAND RAPIDS PUBLIC SCHOOLS
1606.0	2100510	KY	BOONE CO
1600.3	3904480	OH	SOUTH-WESTERN CITY
1594.5	0629940	CA	PASADENA UNIFIED
1589.3	2926850	MO	ROCKWOOD R-VI
1587.2	5302820	WA	FEDERAL WAY SCHOOL DISTRICT
1586.7	4843470	TX	TYLER ISD
1583.5	0902790	CT	NEW HAVEN SCHOOL DISTRICT
1582.5	0408170	AZ	SUNNYSIDE UNIFIED DISTRICT
1576.7	0403420	AZ	GLENDALE ELEMENTARY DISTRICT
1575.3	0511850	AR	PULASKI CO. SPEC. SCHOOL DIST.
1571.2	1810650	IN	HAMILTON SOUTHEASTERN SCHOOLS
1563.5	0600029	CA	MURRIETA VALLEY UNIFIED
1562.8	0632070	CA	REDLANDS UNIFIED
1561.8	2200090	LA	ASCENSION PARISH
1561.5	3701140	NC	DAVIDSON COUNTY SCHOOLS
1559.8	5101800	VA	HAMPTON CITY PBLC SCHS
1559.8	4010590	OK	EDMOND
1559.3	4820250	TX	GALENA PARK ISD
1558.7	3704050	NC	ROWAN-SALISBURY SCHOOLS
1557.8	3704880	NC	WAYNE COUNTY PUBLIC SCHOOLS
1552.0	0512660	AR	SPRINGDALE SCHOOL DISTRICT
1546.3	1708550	IL	CUSD 300
1543.5	5512360	WI	RACINE SCHOOL DISTRICT
1543.5	4501110	SC	BEAUFORT 01
1533.5	0602430	CA	ALVORD UNIFIED
1531.7	3702010	NC	HARNETT COUNTY SCHOOLS
1527.0	0613140	CA	EVERGREEN ELEMENTARY
1525.3	0609070	CA	COACHELLA VALLEY UNIFIED
1521.3	0611460	CA	DOWNEY UNIFIED
1519.0	0613890	CA	FOLSOM-CORDOVA UNIFIED
1519.0	0407080	AZ	ROOSEVELT ELEMENTARY DISTRICT
1515.5	0619260	CA	JURUPA UNIFIED
1510.2	4834440	TX	PEARLAND ISD
1509.7	4844960	TX	WESLACO ISD
1509.3	2803830	MS	RANKIN CO SCHOOL DIST
1506.5	0616325	CA	HACIENDA LA PUENTE UNIFIED
1504.8	5306960	WA	PUYALLUP SCHOOL DISTRICT
1500.5	2201200	LA	OUACHITA PARISH
1500.2	4809670	TX	BEAUMONT ISD
1499.2	1303930	GA	NEWTON COUNTY
1492.0	1734740	IL	SCHAUMBURG CCSD 54
1489.7	0614730	CA	FULLERTON ELEMENTARY
1489.3	4807890	TX	ALLEN ISD
1489.3	0691135	CA	VAL VERDE UNIFIED
1487.3	2201680	LA	TANGIPAHOA PARISH
1485.3	4205310	PA	CENTRAL BUCKS SD
1485.0	0609640	CA	CONEJO VALLEY UNIFIED
1484.3	0627690	CA	NORWALK-LA MIRADA UNIFIED
1482.0	1710200	IL	CICERO SD 99
1481.2	5505820	WI	GREEN BAY AREA SCHOOL DISTRICT
1478.5	0635970	CA	SAUGUS UNION ELEMENTARY
1477.8	5302400	WA	EDMONDS SCHOOL DISTRICT
1475.7	0602310	CA	ALUM ROCK UNION ELEMENTARY
1473.8	0601620	CA	ABC UNIFIED
1473.2	5302670	WA	EVERETT SCHOOL DISTRICT
1459.7	0408310	AZ	TEMPE SCHOOL DISTRICT
1457.5	0102220	AL	MADISON COUNTY
1457.2	5305910	WA	NORTHSHORE SCHOOL DISTRICT
1449.3	2922800	MO	NORTH KANSAS CITY 74
1445.8	4220040	PA	READING SD
1442.5	3904676	OH	OLENTANGY LOCAL
1436.8	2628560	MI	PLYMOUTH-CANTON COMMUNITY SCHOOLS
1432.7	0406300	AZ	PHOENIX ELEMENTARY DISTRICT
1428.7	3703780	NC	RANDOLPH COUNTY SCHOOLS
1425.3	1001300	DE	RED CLAY CONSOLIDATED SCHOOL DISTRICT
1424.7	4202280	PA	ALLENTOWN CITY SD
1423.2	4025290	OK	PUTNAM CITY
1408.2	4822530	TX	HARLINGEN CISD
1406.0	0904830	CT	WATERBURY SCHOOL DISTRICT
1405.8	5303750	WA	ISSAQUAH SCHOOL DISTRICT
1401.7	0602850	CA	ANTIOCH UNIFIED
1397.8	1302130	GA	FAYETTE COUNTY
1396.5	1730270	IL	OSWEGO CUSD 308
1391.2	2201740	LA	TERREBONNE PARISH
1390.5	4808090	TX	ALVIN ISD
1388.7	4817390	TX	DONNA ISD
1388.5	0640980	CA	VENTURA UNIFIED
1388.3	3703270	NC	NASH-ROCKY MOUNT SCHOOLS
1387.5	0612960	CA	ETIWANDA ELEMENTARY
1382.7	2602820	MI	ANN ARBOR PUBLIC SCHOOLS
1376.3	4900120	UT	CACHE DISTRICT
1375.5	2908370	MO	FT. ZUMWALT R-II
1375.0	4503870	SC	YORK 03
1374.2	1200930	FL	INDIAN RIVER
1372.7	5303540	WA	HIGHLINE SCHOOL DISTRICT
1368.3	0620250	CA	LA MESA-SPRING VALLEY
1362.0	3904611	OH	LAKOTA LOCAL
1361.8	0620880	CA	LANCASTER ELEMENTARY
1357.0	0103390	AL	TUSCALOOSA COUNTY
1353.2	0626640	CA	NAPA VALLEY UNIFIED
1351.2	1740070	IL	VALLEY VIEW CUSD 365U
1350.5	4844280	TX	WACO ISD
1346.0	1730420	IL	PALATINE CCSD 15
1340.2	4814730	TX	COMAL ISD
